Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n_25V","C_0201_0603Metric",90.100000,-67.700000,0.000000,top
"C2","100p","C_0201_0603Metric",91.775000,-74.225000,-90.000000,top
"C3","10u_10V","C_0201_0603Metric",90.975000,-74.245000,-90.000000,top
"C4","100p","C_0201_0603Metric",95.720000,-70.150000,0.000000,top
"C5","4u7_16V","C_0201_0603Metric",95.720000,-69.250000,0.000000,top
"J1","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",79.400000,-63.660000,0.000000,top
"J2","Conn_01x02","PinSocket_1x02_P2.54mm_Vertical",101.175000,-73.250000,180.000000,top
"R1","3K3","R_0603_1608Metric",86.300000,-63.300000,180.000000,top
"R2","0R","R_0603_1608Metric",83.125000,-75.950000,-90.000000,top
"R3","3K3","R_0603_1608Metric",86.300000,-65.200000,180.000000,top
"R4","0R","R_0603_1608Metric",85.000000,-75.925000,-90.000000,top
"R5","4K7","R_0603_1608Metric",86.800000,-75.925000,-90.000000,top
"R6","4K7","R_0603_1608Metric",88.700000,-75.925000,-90.000000,top
"R7","0R","R_0603_1608Metric",95.300000,-77.700000,-90.000000,top
"U1","IQS390","QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm_ThermalVias",92.425000,-70.575000,0.000000,top
